# Total Energy along IRC
# X-Axis:  Intrinsic Reaction Coordinate
# Y-Axis:  Total Energy (Hartree)
#                  X                   Y
       -8.7686900000     -538.6052899940
       -8.4746600000     -538.6049360910
       -8.1806200000     -538.6045623910
       -7.8865700000     -538.6041677980
       -7.5925000000     -538.6037511730
       -7.2984400000     -538.6033111130
       -7.0043900000     -538.6028465840
       -6.7103300000     -538.6023562050
       -6.4162800000     -538.6018386910
       -6.1222000000     -538.6012928040
       -5.8281400000     -538.6007171180
       -5.5340800000     -538.6001106630
       -5.2400100000     -538.5994721200
       -4.9459500000     -538.5988002560
       -4.6518700000     -538.5980939240
       -4.3578100000     -538.5973519510
       -4.0637400000     -538.5965738430
       -3.7696700000     -538.5957592420
       -3.4756100000     -538.5949085330
       -3.1815300000     -538.5940231490
       -2.8874700000     -538.5931058460
       -2.5934000000     -538.5921622170
       -2.2993500000     -538.5912008930
       -2.0053000000     -538.5902352870
       -1.7112400000     -538.5892862440
       -1.4172400000     -538.5883826940
       -1.1232300000     -538.5875689690
       -0.8295600000     -538.5868980840
       -0.5360200000     -538.5864413150
       -0.2941400000     -538.5859672760
        0.0000000000     -538.5860365770
        0.2941400000     -538.5865062040
        0.5664700000     -538.5875736650
        0.8602800000     -538.5888554720
        1.1542800000     -538.5904692520
        1.4482900000     -538.5922726260
        1.7421700000     -538.5941062500
        2.0360200000     -538.5958774630
        2.3296700000     -538.5976472030
        2.6234400000     -538.5995501980
        2.9173600000     -538.6016842350
        3.2113600000     -538.6041125790
        3.5054200000     -538.6068768920
        3.7994600000     -538.6100129640
        4.0935000000     -538.6135439200
        4.3875500000     -538.6174796050
        4.6816100000     -538.6218130170
        4.9756800000     -538.6265131460
        5.2697500000     -538.6315271830
        5.5638200000     -538.6367713450
        5.8578900000     -538.6421283540
        6.1519600000     -538.6474441820
        6.4460400000     -538.6525251130
        6.7400900000     -538.6571470290
        7.0340800000     -538.6610816160
        7.3278100000     -538.6641767840
        7.6210300000     -538.6665020130
        7.9144100000     -538.6683351990
        8.2080500000     -538.6699128810
        8.5019000000     -538.6713498220
        8.7958600000     -538.6727001450
