# Scan of Total Energy
# X-Axis:  Scan Coordinate
# Y-Axis:  Total Energy (Hartree)
#                  X                   Y
     -180.0000000000     -614.7078807270
     -170.0000000000     -614.7072813600
     -160.0000000000     -614.7060235750
     -150.0000000000     -614.7044729460
     -140.0000000000     -614.7031186350
     -130.0000000000     -614.7024235580
     -120.0000000000     -614.7026675650
     -110.0000000000     -614.7038520300
     -100.0000000000     -614.7057095070
      -90.0000000000     -614.7077994270
      -80.0000000000     -614.7096191460
      -70.0000000000     -614.7106755590
      -60.0000000000     -614.7105802990
      -50.0000000000     -614.7092336990
      -40.0000000000     -614.7069056520
      -30.0000000000     -614.7041271490
      -20.0000000000     -614.7015047450
      -10.0000000000     -614.6995806060
        0.0000000000     -614.6987069320
       10.0000000000     -614.6989816060
       20.0000000000     -614.7002335310
       30.0000000000     -614.7020693810
       40.0000000000     -614.7039714410
       50.0000000000     -614.7054364440
       60.0000000000     -614.7060960420
       70.0000000000     -614.7058155830
       80.0000000000     -614.7047308610
       90.0000000000     -614.7032144970
      100.0000000000     -614.7017755460
      110.0000000000     -614.7009098540
      120.0000000000     -614.7009204060
      130.0000000000     -614.7018113420
      140.0000000000     -614.7033313480
      150.0000000000     -614.7050823020
      160.0000000000     -614.7066426980
      170.0000000000     -614.7076524370
      180.0000000000     -614.7078805920
